qua;4/7/2012;;07:25;12:00;13:00;18:00;;;;;;
qui;5/7/2012;;07:29;12:00;13:00;17:16;;;;;;
sex;6/7/2012;;07:29;12:00;13:00;16:16;;;;;;
sáb;7/7/2012;;;;;;;;;;;
dom;8/7/2012;;;;;;;;;;;
seg;9/7/2012;;07:37;12:00;13:00;18:05;;;;;;
ter;10/7/2012;;07:23;12:00;13:00;18:20;;;;;;
qua;11/7/2012;;07:20;12:00;13:00;18:38;;;;;;
qui;12/7/2012;;07:29;12:00;13:00;18:20;;;;;;
sex;13/7/2012;;07:31;12:00;13:00;18:00;;;;;;
sáb;14/7/2012;;;;;;;;;;;
dom;15/7/2012;;;;;;;;;;;
seg;16/7/2012;;07:27;12:00;13:00;18:38;;;;;;
ter;17/7/2012;;07:20;12:00;13:00;18:00;;;;;;
qua;18/7/2012;;07:25;12:00;13:00;17:35;;;;;;
qui;19/7/2012;;07:27;12:00;13:00;18:22;;;;;;
sex;20/7/2012;;07:23;12:00;13:00;18:13;;;;;;
;;;;;;;;;;;;
Soma;;;;;;;;;;;;
;;;;;;;;;;;;
sáb;21/7/2012;;;;;;;;;;;
dom;22/7/2012;;;;;;;;;;;
seg;23/7/2012;;07:26;12:00;13:00;17:41;;;;;;
ter;24/7/2012;;07:30;12:00;13:00;17:48;;;;;;
qua;25/7/2012;;07:32;12:00;13:00;18:30;;;;;;
qui;26/7/2012;;07:36;12:00;13:00;17:57;;;;;;
sex;27/7/2012;;07:39;12:00;13:00;19:07;;;;;;
sáb;28/7/2012;;;;;;;;;;;
dom;29/7/2012;;;;;;;;;;;
seg;30/7/2012;;07:31;12:00;13:00;17:49;;;;;;
ter;31/7/2012;;07:33;12:00;13:00;17:17;;;;;;
qua;1/8/2012;;07:32;12:00;13:00;17:34;;;;;;
qui;2/8/2012;;07:25;12:00;13:00;17:16;;;;;;
sex;3/8/2012;;07:34;12:00;13:00;16:18;;;;;;
sáb;4/8/2012;;;;;;;;;;;
dom;5/8/2012;;;;;;;;;;;
seg;6/8/2012;;07:16;12:00;13:00;17:56;;;;;;
ter;7/8/2012;;07:29;12:00;13:00;17:45;;;;;;
qua;8/8/2012;;07:26;12:00;13:00;17:15;;;;;;
qui;9/8/2012;;07:16;12:00;13:00;16:40;;;;;;
sex;10/8/2012;;;;;;;;;;;
sáb;11/8/2012;;;;;;;;;;;
dom;12/8/2012;;;;;;;;;;;
seg;13/8/2012;;07:23;12:00;13:00;17:21;;;;;;
ter;14/8/2012;;07:14;12:00;13:00;17:31;;;;;;
qua;15/8/2012;;07:16;12:00;13:00;17:42;;;;;;
qui;16/8/2012;;07:16;12:00;13:00;17:29;;;;;;
sex;17/8/2012;;07:25;12:00;13:00;16:31;;;;;;
sáb;18/8/2012;;;;;;;;;;;
dom;19/8/2012;;;;;;;;;;;
seg;20/8/2012;;07:18;12:00;13:00;17:35;;;;;;
Soma;;;;;;;;;;;;
;;;;;;;;;;;;
ter;21/8/2012;;07:20;12:00;13:00;17:30;;;;;;
qua;22/8/2012;;07:25;12:00;13:00;17:51;;;;;;
qui;23/8/2012;Falta;;;;;;;;;;
sex;24/8/2012;Falta;;;;;;;;;;
sáb;25/8/2012;;;;;;;;;;;
dom;26/8/2012;;;;;;;;;;;
seg;27/8/2012;;07:13;12:00;13:00;18:47;;;;;;
ter;28/8/2012;;07:11;12:00;13:00;17:54;;;;;;
qua;29/8/2012;;07:27;12:00;13:00;17:56;;;;;;
qui;30/8/2012;;07:17;12:00;13:00;17:53;;;;;;
sex;31/8/2012;;07:27;12:00;13:00;17:26;;;;;;
sáb;1/9/2012;;;;;;;;;;;
dom;2/9/2012;;;;;;;;;;;
seg;3/9/2012;;07:22;12:00;13:00;18:26;;;;;;
ter;4/9/2012;;07:33;12:00;13:00;17:31;;;;;;
qua;5/9/2012;;07:17;12:00;13:00;18:03;;;;;;
qui;6/9/2012;;07:47;12:00;13:00;17:33;;;;;;
sex;7/9/2012;Feriado;;;;;;;;;;
sáb;8/9/2012;;;;;;;;;;;
dom;9/9/2012;;;;;;;;;;;
seg;10/9/2012;;07:21;12:00;13:00;17:47;;;;;;
ter;11/9/2012;;07:31;12:00;13:00;18:01;;;;;;
qua;12/9/2012;;07:05;12:00;13:00;17:20;;;;;;
qui;13/9/2012;;07:28;12:00;13:00;17:31;;;;;;
sex;14/9/2012;;07:29;12:00;13:00;16:12;;;;;;
sáb;15/9/2012;;08:34;12:00;13:00;16:15;;;;;;
dom;16/9/2012;;;;;;;;;;;
seg;17/9/2012;;07:13;12:00;13:00;17:15;;;;;;
ter;18/9/2012;;07:30;12:00;13:00;17:21;;;;;;
qua;19/9/2012;;07:22;12:00;13:00;17:36;;;;;;
qui;20/9/2012;Feriado;;;;;;;;;;
Soma;;;;;;;;;;;;
;;;;;;;;;;;;
sex;21/9/2012;Falta;;;;;;;;;;
sáb;22/9/2012;;;;;;;;;;;
dom;23/9/2012;;;;;;;;;;;
seg;24/9/2012;;07:19;12:00;13:00;17:15;;;;;;
ter;25/9/2012;;07:19;12:00;13:00;17:39;;;;;;
qua;26/9/2012;;07:25;12:00;13:00;17:57;;;;;;
