qua;05/03/2014;;07:30;12:30;13:00;19:00;;;;;;
qui;06/03/2014;;07:30;12:30;13:00;19:00;;;;;;
sex;07/03/2014;;07:30;12:30;13:00;19:00;;;;;;
sáb;08/03/2014;;07:30;12:30;13:00;19:00;;;;;;
dom;09/03/2014;;07:30;12:30;13:00;19:00;;;;;;
seg;10/03/2014;;07:30;12:30;13:00;19:00;;;;;;
ter;11/03/2014;;07:30;12:30;13:00;19:00;;;;;;
qua;12/03/2014;;07:30;12:30;13:00;19:00;;;;;;
qui;13/03/2014;;07:30;12:30;13:00;19:00;;;;;;
sex;14/03/2014;;07:30;12:30;13:00;19:00;;;;;;
sáb;15/03/2014;;07:30;12:30;13:00;19:00;;;;;;
dom;16/03/2014;;;;;;;;;;;
seg;17/03/2014;;07:30;12:30;13:00;19:00;;;;;;
ter;18/03/2014;;07:30;12:30;13:00;19:00;;;;;;
qua;19/03/2014;;07:30;12:30;13:00;19:00;;;;;;
qui;20/03/2014;;07:30;12:30;13:00;19:00;;;;;;
sex;21/03/2014;;07:30;12:30;13:00;19:00;;;;;;
sáb;22/03/2014;;07:30;12:30;13:00;19:00;;;;;;
dom;23/03/2014;;;;;;;;;;;
seg;24/03/2014;;07:30;12:30;13:00;19:00;;;;;;
ter;25/03/2014;;07:30;12:30;13:00;19:00;;;;;;
qua;26/03/2014;;07:30;12:30;13:00;19:00;;;;;;
qui;27/03/2014;;07:30;12:30;13:00;19:00;;;;;;
sex;28/03/2014;;07:30;12:30;13:00;19:00;;;;;;
sáb;29/03/2014;;07:30;12:30;13:00;19:00;;;;;;
dom;30/03/2014;;07:30;12:30;13:00;19:00;;;;;;
seg;31/03/2014;;07:30;12:30;13:00;19:00;;;;;;
Soma;;;;;;;;;;;;
ter;01/04/2014;;07:30;12:30;13:00;19:00;;;;;;
qua;02/04/2014;;07:30;12:30;13:00;19:00;;;;;;
qui;03/04/2014;;07:30;12:30;13:00;19:00;;;;;;
sex;04/04/2014;;07:30;12:30;13:00;19:00;;;;;;
sáb;05/04/2014;;07:30;12:30;13:00;19:00;;;;;;
dom;06/04/2014;;07:30;12:30;13:00;19:00;;;;;;
seg;07/04/2014;;07:30;12:30;13:00;19:00;;;;;;
ter;08/04/2014;;07:30;12:30;13:00;19:00;;;;;;
