qua;15/01/2014;;16:35;22:15;23:15;02:06;;
qui;16/01/2014;;16:34;22:15;23:15;02:08;;
sex;17/01/2014;;16:33;22:15;23:15;02:06;;
s�b;18/01/2014;;;;;;;
dom;19/01/2014;;;;;;;
seg;20/01/2014;;16:33;22:15;23:15;02:11;;
Soma;;;;;;;;
ter;21/01/2014;;16:34;22:15;23:15;02:12;;
qua;22/01/2014;;16:36;22:15;23:15;02:15;;
qui;23/01/2014;;16:33;22:15;23:15;02:13;;
sex;24/01/2014;;16:39;22:15;23:15;02:09;;
s�b;25/01/2014;;;;;;;
dom;26/01/2014;;;;;;;
seg;27/01/2014;;16:35;22:15;23:15;02:16;;
ter;28/01/2014;;16:43;22:15;23:15;02:02;;
qua;29/01/2014;;16:41;22:15;23:15;02:11;;
qui;30/01/2014;;16:34;22:15;23:15;02:12;;
sex;31/01/2014;;16:34;22:15;23:15;02:16;;
s�b;01/02/2014;;;;;;;
dom;02/02/2014;;;;;;;
seg;03/02/2014;;16:34;22:15;23:15;02:18;;
ter;04/02/2014;;16:35;22:15;23:15;02:11;;
qua;05/02/2014;;16:35;22:15;23:15;02:14;;
qui;06/02/2014;;16:41;22:15;23:15;02:11;;
sex;07/02/2014;;16:33;22:15;23:15;02:11;;
s�b;08/02/2014;;06:53;12:13;12:35;17:02;;
dom;09/02/2014;;;;;;;
seg;10/02/2014;;16:39;22:15;23:15;02:13;;
ter;11/02/2014;;16:33;22:15;23:15;02:08;;
qua;12/02/2014;;16:33;22:15;23:15;02:08;;
qui;13/02/2014;;16:33;22:15;23:15;02:08;;
sex;14/02/2014;;16:42;22:15;23:15;02:14;;
s�b;15/02/2014;;07:13;12:09;12:44;16:46;;
dom;16/02/2014;;;;;;;
seg;17/02/2014;;16:45;22:15;23:15;02:16;;
ter;18/02/2014;;16:44;22:15;23:15;02:18;;
qua;19/02/2014;;16:36;22:15;23:15;02:19;;
qui;20/02/2014;;16:43;22:15;23:15;02:13;;
Soma;;;;;;;;
sex;21/02/2014;;16:36;22:15;23:15;02:10;;
s�b;22/02/2014;;06:56;12:41;13:00;21:43;;
dom;23/02/2014;;;;;;;
seg;24/02/2014;;16:44;22:15;23:15;02:08;;
ter;25/02/2014;;16:42;22:15;23:15;02:09;;
qua;26/02/2014;;16:39;22:15;23:15;02:09;;
qui;27/02/2014;;16:40;22:15;23:15;02:14;;
sex;28/02/2014;;16:35;22:15;23:15;02:11;;
s�b;01/03/2014;;;;;;;
dom;02/03/2014;;;;;;;
seg;03/03/2014;;16:34;22:15;23:15;02:14;;
ter;04/03/2014;Feriado;16:38;22:15;23:15;02:13;;
qua;05/03/2014;;16:36;22:15;23:15;02:13;;
qui;06/03/2014;;16:36;22:15;23:15;02:14;;
sex;07/03/2014;;16:36;22:15;23:15;02:08;;
s�b;08/03/2014;;06:59;12:42;13:02;17:13;;
dom;09/03/2014;;;;;;;
seg;10/03/2014;;16:33;22:15;23:15;02:13;;
ter;11/03/2014;;16:33;22:15;23:15;02:10;;
qua;12/03/2014;;16:40;22:15;23:15;02:10;;
qui;13/03/2014;;16:34;22:15;23:15;02:10;;
sex;14/03/2014;;16:34;22:15;23:15;02:10;;
s�b;15/03/2014;;;;;;;
dom;16/03/2014;;;;;;;
seg;17/03/2014;;16:35;22:15;23:15;02:13;;
ter;18/03/2014;;16:35;22:15;23:15;02:07;;
qua;19/03/2014;;16:33;22:15;23:15;02:13;;
qui;20/03/2014;;16:36;22:15;23:15;02:11;;
Soma;;;;;;;;
sex;21/03/2014;;16:39;22:15;23:15;02:09;;
s�b;22/03/2014;;;;;;;
dom;23/03/2014;;;;;;;
seg;24/03/2014;;16:36;22:15;23:15;02:15;;
ter;25/03/2014;;16:33;22:15;23:15;02:12;;
qua;26/03/2014;;16:33;22:15;23:15;02:11;;
qui;27/03/2014;;16:37;22:15;23:15;02:11;;
sex;28/03/2014;;16:39;22:15;23:15;02:08;;
s�b;29/03/2014;;;;;;;
dom;30/03/2014;;;;;;;
seg;31/03/2014;;16:37;22:15;23:15;02:12;;
ter;01/04/2014;;16:33;22:15;23:15;02:11;;
qua;02/04/2014;;16:34;22:15;23:15;02:10;;
qui;03/04/2014;;16:35;22:15;23:15;02:08;;
sex;04/04/2014;;16:44;22:15;23:15;02:02;;
s�b;05/04/2014;;06:57;12:31;12:57;18:08;;
dom;06/04/2014;;;;;;;
seg;07/04/2014;;16:34;22:15;23:15;02:11;;
ter;08/04/2014;;16:34;22:15;23:15;02:10;;
qua;09/04/2014;;16:35;22:15;23:15;02:08;;
qui;10/04/2014;;16:38;22:15;23:15;02:09;;
sex;11/04/2014;;16:38;22:15;23:15;02:02;;
s�b;12/04/2014;;;;;;;
dom;13/04/2014;;;;;;;
seg;14/04/2014;;16:35;22:15;23:15;02:11;;
ter;15/04/2014;;16:37;22:15;23:15;02:12;;
qua;16/04/2014;;16:37;22:15;23:15;02:08;;
qui;17/04/2014;;16:49;22:15;23:15;02:10;;
sex;18/04/2014;Feriado;;;;;;
s�b;19/04/2014;;;;;;;
dom;20/04/2014;Feriado;;;;;;
Soma;;;;;;;;
seg;21/04/2014;Feriado;;;;;;
ter;22/04/2014;;16:43;22:15;23:15;02:11;;
qua;23/04/2014;;16:34;22:15;23:15;02:07;;
qui;24/04/2014;;16:36;22:15;23:15;02:09;;
sex;25/04/2014;;16:38;22:15;23:15;02:10;;
s�b;26/04/2014;;07:49;12:30;;;;
dom;27/04/2014;;;;;;;
seg;28/04/2014;;16:34;22:15;23:15;02:15;;
ter;29/04/2014;;16:36;22:15;23:15;02:13;;
qua;30/04/2014;;16:41;22:15;23:15;02:12;;
qui;01/05/2014;Feriado;;;;;;
sex;02/05/2014;;;;;;;
s�b;03/05/2014;;;;;;;
dom;04/05/2014;;;;;;;
seg;05/05/2014;;16:38;22:15;23:15;02:12;;
ter;06/05/2014;;16:35;22:15;23:15;02:07;;
qua;07/05/2014;;16:41;22:15;23:15;02:09;;
qui;08/05/2014;;16:34;22:15;23:15;02:11;;
sex;09/05/2014;;16:33;22:15;23:15;02:10;;
s�b;10/05/2014;;;;;;;
dom;11/05/2014;;;;;;;
seg;12/05/2014;;16:38;22:15;23:15;02:12;;
ter;13/05/2014;;16:36;22:15;23:15;02:10;;
