seg;11/4/2011;;09:42;13:15;16:38;20:16
ter;12/4/2011;;09:38;13:12;16:39;20:19
qua;13/4/2011;;09:39;13:10;16:37;20:27
qui;14/4/2011;;09:39;13:10;16:37;20:27
sex;15/4/2011;;08:30;12:00;16:39;20:15
sáb;16/4/2011;;13:43;20:17;;
dom;17/4/2011;DSR;10:56;13:15;17:06;23:26
seg;18/4/2011;;09:37;13:10;16:39;20:17
ter;19/4/2011;;09:37;13:08;16:37;20:19
qua;20/4/2011;;09:41;13:12;16:40;20:24
Soma;;;;;;
qui;21/4/2011;Feriado C.;09:36;13:08;16:37;20:14
sex;22/4/2011;Feriado C.;09:36;13:08;16:37;20:14
sáb;23/4/2011;DSR;;;;
dom;24/4/2011;DSR;;;;
seg;25/4/2011;;09:38;13:10;16:40;20:18
ter;26/4/2011;;09:36;13:08;16:37;20:14
qua;27/4/2011;;09:38;13:09;16:38;20:17
qui;28/4/2011;DSR;;;;
sex;29/4/2011;;14:22;20:16;;
sáb;30/4/2011;;13:41;19:56;;
dom;1/5/2011;;10:57;13:15;16:58;23:27
seg;2/5/2011;;09:39;13:11;16:43;20:15
ter;3/5/2011;;08:29;13:10;16:38;20:38
qua;4/5/2011;;08:29;13:10;16:38;20:38
qui;5/5/2011;;08:29;13:10;16:38;20:38
sex;6/5/2011;;13:10;20:21;;
sáb;7/5/2011;;11:01;13:14;17:18;23:23
dom;8/5/2011;DSR;;;;
seg;9/5/2011;;09:40;13:13;16:36;20:16
ter;10/5/2011;;09:39;13:14;16:39;20:19
qua;11/5/2011;;09:43;13:11;16:38;20:17
qui;12/5/2011;DSR;;;;
sex;13/5/2011;;09:39;13:11;16:38;20:17
sáb;14/5/2011;;13:42;20:06;;
dom;15/5/2011;;10:57;13:21;17:00;23:28
seg;16/5/2011;;09:36;13:07;16:39;20:15
ter;17/5/2011;;09:38;13:13;16:38;20:16
qua;18/5/2011;;09:36;13:12;16:39;20:12
qui;19/5/2011;;09:39;13:11;16:39;20:10
sex;20/5/2011;;09:39;13:08;16:39;20:11
Soma;;;;;;
sáb;21/5/2011;;10:39;13:12;17:14;23:24
dom;22/5/2011;DSR;;;;
seg;23/5/2011;;13:11;20:17;;
ter;24/5/2011;;09:39;13:16;16:41;20:18
qua;25/5/2011;;13:11;20:19;;
qui;26/5/2011;Feriado;;;;
sex;27/5/2011;;09:39;13:08;16:38;20:09
sáb;28/5/2011;;13:45;20:04;;
dom;29/5/2011;DSR;10:56;13:19;17:01;23:28
seg;30/5/2011;;09:40;13:13;16:39;20:11
ter;31/5/2011;;13:15;20:12;;
qua;1/6/2011;;09:39;13:12;16:45;20:20
qui;2/6/2011;;09:40;13:11;16:39;20:18
sex;3/6/2011;;09:38;13:11;16:38;20:18
sáb;4/6/2011;;10:39;13:13;16:47;23:21
dom;5/6/2011;DSR;;;;
seg;6/6/2011;;13:17;20:18;;
ter;7/6/2011;;09:39;13:16;16:42;20:23
qua;8/6/2011;;09:38;13:11;16:39;20:13
qui;9/6/2011;DSR;;;;
sex;10/6/2011;;09:38;13:08;16:39;20:08
sáb;11/6/2011;;13:46;20:01;;
dom;12/6/2011;;10:54;13:18;17:09;23:27
seg;13/6/2011;;09:38;13:11;16:39;20:15
ter;14/6/2011;;09:40;13:12;16:39;20:14
qua;15/6/2011;;09:39;13:10;16:39;20:15
qui;16/6/2011;;13:17;20:18;;
sex;17/6/2011;;09:43;13:14;16:40;20:17
sáb;18/6/2011;;10:37;13:13;17:18;23:25
dom;19/6/2011;DSR;;;;
seg;20/6/2011;;09:38;13:13;16:39;20:21
Soma;;;;;;
ter;21/6/2011;;09:38;13:10;16:40;20:19
qua;22/6/2011;;13:16;20:20;;
qui;23/6/2011;;10:55;13:24;17:05;23:27
sex;24/6/2011;;13:10;20:18;;
sáb;25/6/2011;;13:44;19:55;;
dom;26/6/2011;DSR;10:59;13:14;17:25;23:32
seg;27/6/2011;;09:37;13:11;16:40;20:15
ter;28/6/2011;;09:43;13:12;16:38;20:16
qua;29/6/2011;;09:39;13:13;16:42;20:15
qui;30/6/2011;;09:42;13:12;16:41;20:19
sex;1/7/2011;;09:44;13:12;16:41;20:20
sáb;2/7/2011;;10:42;13:12;17:19;23:25
dom;3/7/2011;DSR;;;;
seg;4/7/2011;;09:39;13:13;16:39;20:17
ter;5/7/2011;;09:41;13:12;16:40;20:18
qua;6/7/2011;;13:18;20:22;;
qui;7/7/2011;DSR;;;;
sex;8/7/2011;;09:41;13:14;16:40;20:30
