Horarios: 48-49-66	Observação
26/9/2007	
27/9/2007	
3/10/2007	
4/10/2007	
10/10/2007	
11/10/2007	
17/10/2007	
18/10/2007	
24/10/2007	
25/10/2007	
31/10/2007	
1/11/2007	
7/11/2007	
8/11/2007	
14/11/2007	
15/11/2007	Feriado
21/11/2007	
22/11/2007	
28/11/2007	
29/11/2007	
5/12/2007	
6/12/2007	
12/12/2007	
13/12/2007	
Horários: 46	
8/8/2007	
15/8/2007	
22/8/2007	
29/8/2007	
5/9/2007	
12/9/2007	
19/9/2007	
26/9/2007	
3/10/2007	
10/10/2007	
17/10/2007	
24/10/2007	
31/10/2007	
7/11/2007	
14/11/2007	
21/11/2007	
28/11/2007	
5/12/2007	
12/12/2007	
Horários: 37	
5/8/2008	
12/8/2008	
19/8/2008	
26/8/2008	Afast. Justificado
2/9/2008	
9/9/2008	
16/9/2008	
23/9/2008	
30/9/2008	
7/10/2008	
14/10/2008	
21/10/2008	
28/10/2008	
4/11/2008	
11/11/2008	
18/11/2008	
25/11/2008	
2/12/2008	
9/12/2008	
Horários: 38-39-46	
5/8/2008	
6/8/2008	
12/8/2008	
13/8/2008	
19/8/2008	
20/8/2008	
26/8/2008	Afast. Justificado
27/8/2008	Afast. Justificado
2/9/2008	
3/9/2008	
9/9/2008	
10/9/2008	
16/9/2008	
17/9/2008	
23/9/2008	
24/9/2008	
30/9/2008	
1/10/2008	
7/10/2008	
8/10/2008	
14/10/2008	
15/10/2008	
21/10/2008	
22/10/2008	
28/10/2008	
29/10/2008	
4/11/2008	
5/11/2008	
11/11/2008	
12/11/2008	
18/11/2008	
19/11/2008	
25/11/2008	
26/11/2008	
2/12/2008	
3/12/2008	
9/12/2008	
10/12/2008	
Horários: 47	
6/8/2008	
13/8/2008	
20/8/2008	
27/8/2008	Afast. Justificado
3/9/2008	
10/9/2008	
17/9/2008	
24/9/2008	
1/10/2008	
8/10/2008	
15/10/2008	
22/10/2008	
29/10/2008	
5/11/2008	
12/11/2008	
19/11/2008	
26/11/2008	
3/12/2008	
10/12/2008	
Horários: 48-49-56	
6/8/2008	
7/8/2008	
13/8/2008	
14/8/2008	
20/8/2008	
21/8/2008	
27/8/2008	Afast. Justificado
28/8/2008	Afast. Justificado
3/9/2008	
4/9/2008	
10/9/2008	
11/9/2008	
17/9/2008	
18/9/2008	
24/9/2008	
25/9/2008	
1/10/2008	
2/10/2008	
8/10/2008	
9/10/2008	
15/10/2008	
16/10/2008	
22/10/2008	
23/10/2008	
29/10/2008	
30/10/2008	
5/11/2008	
6/11/2008	
12/11/2008	
13/11/2008	
19/11/2008	
20/11/2008	
26/11/2008	
27/11/2008	
3/12/2008	
4/12/2008	
10/12/2008	
11/12/2008	
Horários: 57	
7/8/2008	
14/8/2008	
21/8/2008	
28/8/2008	Afast. Justificado
4/9/2008	
11/9/2008	
18/9/2008	
25/9/2008	
2/10/2008	
9/10/2008	
16/10/2008	
23/10/2008	
30/10/2008	
6/11/2008	
13/11/2008	
20/11/2008	
27/11/2008	
4/12/2008	
11/12/2008	
Horários: 38-39-47	
18/8/2009	
19/8/2009	
25/8/2009	
26/8/2009	
1/9/2009	
2/9/2009	
8/9/2009	
9/9/2009	
15/9/2009	
16/9/2009	
22/9/2009	
23/9/2009	
29/9/2009	
30/9/2009	
6/10/2009	
7/10/2009	
13/10/2009	
14/10/2009	
20/10/2009	
21/10/2009	
27/10/2009	
28/10/2009	
3/11/2009	
4/11/2009	
10/11/2009	
11/11/2009	
17/11/2009	
18/11/2009	
24/11/2009	
25/11/2009	
1/12/2009	
2/12/2009	
8/12/2009	
9/12/2009	
15/12/2009	
16/12/2009	
Horários: 46	
19/8/2009	
26/8/2009	
2/9/2009	
9/9/2009	
16/9/2009	
23/9/2009	
30/9/2009	
7/10/2009	
14/10/2009	
21/10/2009	
