sex;21/2/2014;;07:20;12:02;12:50;17:24
sáb;22/2/2014;;;;;
dom;23/2/2014;;;;;
seg;24/2/2014;;07:23;12:02;12:50;17:22
ter;25/2/2014;;07:20;12:01;12:50;17:23
Soma;;;;;;
qua;26/2/2014;;07:22;12:02;12:52;16:05
qui;27/2/2014;;07:20;12:01;12:50;17:24
sex;28/2/2014;;07:20;12:02;12:52;17:24
sáb;1/3/2014;;;;;
dom;2/3/2014;;;;;
seg;3/3/2014;;07:21;12:02;12:53;19:03
ter;4/3/2014;Feriado;07:23;12:02;12:50;17:25
qua;5/3/2014;;07:20;12:01;12:51;17:25
qui;6/3/2014;;07:21;12:01;;
sex;7/3/2014;;07:22;12:01;12:50;17:23
sáb;8/3/2014;;;;;
dom;9/3/2014;;;;;
seg;10/3/2014;;07:21;12:01;12:50;17:22
ter;11/3/2014;;07:21;12:02;12:50;17:24
qua;12/3/2014;;07:21;12:01;12:50;17:24
qui;13/3/2014;;07:21;12:02;12:50;17:24
sex;14/3/2014;;07:22;12:01;12:50;17:22
sáb;15/3/2014;;;;;
dom;16/3/2014;;;;;
seg;17/3/2014;Atestado;;;;
ter;18/3/2014;;07:22;12:01;12:54;17:23
qua;19/3/2014;;07:24;12:01;12:54;17:25
qui;20/3/2014;;07:21;12:02;12:54;17:23
sex;21/3/2014;;07:22;12:02;12:52;17:23
sáb;22/3/2014;;;;;
dom;23/3/2014;;;;;
seg;24/3/2014;;07:21;12:01;12:52;19:04
ter;25/3/2014;;07:22;12:01;12:53;17:25
Soma;;;;;;
qua;26/3/2014;;07:20;12:01;12:52;17:24
qui;27/3/2014;;07:21;12:01;12:54;17:23
sex;28/3/2014;;07:21;12:01;12:54;17:23
sáb;29/3/2014;;06:53;10:59;;
dom;30/3/2014;;;;;
seg;31/3/2014;Atestado;;;;
ter;1/4/2014;;07:20;12:01;12:54;17:23
qua;2/4/2014;;07:21;12:01;12:51;17:23
qui;3/4/2014;;07:21;12:01;12:52;17:25
sex;4/4/2014;;07:20;12:01;12:51;17:22
sáb;5/4/2014;;;;;
dom;6/4/2014;;;;;
seg;7/4/2014;;07:21;12:01;12:55;17:23
ter;8/4/2014;;07:22;12:01;12:53;17:23
qua;9/4/2014;;07:21;12:01;12:52;17:23
qui;10/4/2014;;07:21;12:02;12:52;17:23
sex;11/4/2014;;07:22;12:01;12:53;17:26
sáb;12/4/2014;;;;;
dom;13/4/2014;;;;;
seg;14/4/2014;;07:20;12:01;12:52;17:22
ter;15/4/2014;;07:20;12:01;12:51;17:23
qua;16/4/2014;;07:23;12:01;12:57;14:31
qui;17/4/2014;;07:21;12:01;12:51;17:22
sex;18/4/2014;Feriado;;;;
sáb;19/4/2014;;;;;
dom;20/4/2014;Feriado;;;;
seg;21/4/2014;Feriado;;;;
ter;22/4/2014;;07:20;12:01;12:51;17:23
qua;23/4/2014;;07:21;12:02;12:51;17:21
qui;24/4/2014;;07:22;12:01;12:53;17:23
sex;25/4/2014;;07:22;12:02;12:53;17:21
Soma;;;;;;
sáb;26/4/2014;;;;;
dom;27/4/2014;;;;;
seg;28/4/2014;;07:20;12:01;12:51;17:22
ter;29/4/2014;;07:21;12:01;12:52;17:23
qua;30/4/2014;;07:21;12:01;12:52;17:23
qui;1/5/2014;Feriado;;;;
sex;2/5/2014;;07:22;12:01;12:52;17:24
sáb;3/5/2014;;;;;
dom;4/5/2014;;;;;
seg;5/5/2014;;07:21;12:01;12:50;17:20
ter;6/5/2014;Atestado P.;07:22;12:01;13:14;17:23
qua;7/5/2014;;07:21;12:01;12:53;17:24
qui;8/5/2014;;07:20;12:01;12:50;17:20
sex;9/5/2014;;07:22;12:02;12:52;17:21
sáb;10/5/2014;;06:54;10:17;;
dom;11/5/2014;;;;;
seg;12/5/2014;;07:21;12:01;12:51;17:23
ter;13/5/2014;;07:21;12:01;12:55;17:24
qua;14/5/2014;Atestado;;;;
qui;15/5/2014;;07:21;12:01;13:00;17:24
sex;16/5/2014;;07:20;12:01;12:53;17:22
sáb;17/5/2014;;;;;
dom;18/5/2014;;;;;
seg;19/5/2014;;07:20;12:01;12:53;17:22
ter;20/5/2014;;07:20;12:01;12:52;17:23
qua;21/5/2014;;07:22;12:02;12:52;17:22
qui;22/5/2014;;07:21;12:01;12:51;17:23
sex;23/5/2014;;07:20;12:01;12:52;17:22
sáb;24/5/2014;;;;;
dom;25/5/2014;;;;;
Soma;;;;;;
seg;26/5/2014;Feriado;;;;
ter;27/5/2014;;07:21;12:04;12:54;17:22
qua;28/5/2014;;07:27;12:01;12:52;17:23
qui;29/5/2014;;07:22;12:05;12:59;17:23
sex;30/5/2014;;07:21;12:02;12:53;17:20
sáb;31/5/2014;;;;;
dom;1/6/2014;;;;;
seg;2/6/2014;;07:27;12:01;12:52;17:24
ter;3/6/2014;;07:21;12:01;12:55;17:23
qua;4/6/2014;;07:23;12:01;12:55;15:05
qui;5/6/2014;;07:21;12:01;12:53;17:22
sex;6/6/2014;;07:22;12:01;12:51;17:21
sáb;7/6/2014;;;;;
dom;8/6/2014;;;;;
seg;9/6/2014;;07:21;12:01;12:50;17:21
ter;10/6/2014;;07:22;12:00;12:53;17:22
qua;11/6/2014;;07:20;12:01;12:51;17:21
qui;12/6/2014;;07:22;12:01;12:54;16:22
sex;13/6/2014;;07:23;12:01;12:52;17:20
sáb;14/6/2014;;;;;
dom;15/6/2014;;;;;
seg;16/6/2014;;07:20;12:01;12:51;17:22
ter;17/6/2014;;07:20;12:01;12:51;15:22
qua;18/6/2014;;07:20;12:01;12:54;17:24
qui;19/6/2014;;;;;
sex;20/6/2014;;07:20;12:04;;
sáb;21/6/2014;;;;;
dom;22/6/2014;;;;;
seg;23/6/2014;;07:20;12:01;12:50;16:23
ter;24/6/2014;;07:20;12:01;12:52;17:22
qua;25/6/2014;;07:20;12:01;12:50;17:23
Soma;;;;;;
qui;26/6/2014;;07:20;12:01;12:52;17:24
sex;27/6/2014;;07:21;12:01;12:56;17:22
sáb;28/6/2014;;06:31;10:24;;
dom;29/6/2014;;;;;
seg;30/6/2014;;08:21;12:01;12:50;17:24
ter;1/7/2014;;07:21;12:01;12:51;17:24
qua;2/7/2014;;07:23;12:01;12:55;17:22
qui;3/7/2014;Atestado;;;;
sex;4/7/2014;;07:21;12:01;12:55;17:03
sáb;5/7/2014;;;;;
dom;6/7/2014;;;;;
