;TR;FATOR;Vencimento dia 25;Moedas;Convers�o;IGPM;TR;INPC;IPCA-E;SELIC;;;;;;;;;;;;;;;
01/10/2016;0,1601%;1,01088;0,99574;R$;1,00;0,16%;0,1601%;;0,19%;1,05%;;;;;;;;;;;;;;;
01/11/2016;0,1428%;1,00927;0,99520;R$;1,00;-0,03%;0,1428%;;0,26%;1,04%;;;;;;;;;;;;;;;
01/12/2016;0,1849%;1,00783;0,99473;R$;1,00;0,54%;0,1849%;;0,19%;1,12%;;;;;;;;;;;;;;;
01/01/2017;0,1700%;1,00597;0,99294;;1,00;0,64%;0,1700%;;0,31%;1,09%;;;;;;;;;;;;;;;
01/02/2017;0,0302%;1,00426;0,99081;;1,00;0,08%;0,0302%;;0,54%;0,87%;;;;;;;;;;;;;;;
01/03/2017;0,1519%;1,00396;0,99055;;1,00;0,01%;0,1519%;;0,15%;1,05%;;;;;;;;;;;;;;;
01/04/2017;0,0000%;1,00243;0,99051;;1,00;-1,10%;0,0000%;;0,21%;0,79%;;;;;;;;;;;;;;;
01/05/2017;0,0764%;1,00243;0,99417;;1,00;-0,93%;0,0764%;;0,24%;0,93%;;;;;;;;;;;;;;;
01/06/2017;0,0536%;1,00167;0,99727;;1,00;-0,67%;0,0536%;;0,16%;0,81%;;;;;;;;;;;;;;;
01/07/2017;0,0623%;1,00113;0,99950;;1,00;-0,72%;0,0623%;;-0,18%;0,80%;;;;;;;;;;;;;;;
01/08/2017;0,0509%;1,00051;1,00190;;1,00;0,10%;0,0509%;;0,35%;0,80%;;;;;;;;;;;;;;;
01/09/2017;0,0000%;1,00000;1,00157;;1,00;0,47%;0,0000%;;0,11%;0,64%;;;;;;;;;;;;;;;
01/10/2017;0,0000%;1,00000;1,000000;;1,00;0,20%;0,0000%;;;;;;;;;;;;;;;;;;
01/11/2017;0,0000%;1,00000;;;1,00;0,52%;0,0000%;;;;;;;;;;;;;;;;;;
01/12/2017;0,0000%;1,00000;;;1,00;0,89%;0,0000%;;;;;;;;;;;;;;;;;;
01/01/2018;0,0000%;1,00000;;;1,00;0,76%;0,0000%;;;;;;;;;;;;;;;;;;
01/02/2018;0,0000%;1,00000;;;1,00;0,07%;0,0000%;;;;;;;;;;;;;;;;;;
01/03/2018;0,0000%;1,00000;;;1,00;0,64%;0,0000%;;;;;;;;;;;;;;;;;;
01/04/2018;;1,000000;;;;;;;;;;;;;;;;;;;;;;;
